Population,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
    France,5820,55,180,305,410,145,125,80,250,420,615,515,505,415,510,295,90,130,105,275,105,45,90,15,85,45
    Germany,8920,220,615,755,680,265,225,105,420,260,435,435,495,375,320,390,295,355,280,430,325,330,135,130,315,325
    Greece,16510,210,545,280,395,300,425,240,590,400,160,380,610,150,2675,555,1340,845,400,1085,795,1885,1055,345,550,320
    Hungary,6130,195,430,325,345,225,325,175,585,160,155,305,435,90,105,270,320,255,300,245,225,205,95,50,170,135
    Italy,37700,2510,3195,1700,395,4350,4475,5470,2645,2760,355,1145,1105,230,675,360,260,685,860,785,880,755,800,320,435,550
    Netherlands,2125,40,145,120,150,45,50,35,75,40,125,170,115,50,125,85,80,80,85,160,95,55,40,15,60,85
    Poland,18250,825,2795,4235,2290,675,645,270,420,435,560,295,455,500,350,345,410,335,335,205,415,395,200,70,355,430
    Portugal,34360,760,1850,1675,965,7180,930,975,1730,10920,1260,2135,1345,245,235,145,220,160,180,280,335,215,100,75,190,265
    Romania,11205,245,740,600,360,135,620,110,620,150,445,250,605,350,205,610,1140,1430,715,390,275,290,295,130,275,195
    Russian Federation,15820,155,705,1170,815,155,2860,180,945,255,1110,585,790,685,325,635,425,860,2130,300,210,135,120,35,140,90
    Serbia,7745,90,1550,900,605,170,180,30,450,110,315,215,420,340,395,395,385,260,235,190,100,100,80,30,85,110
    Ukraine,15845,245,2860,3310,980,240,2290,240,570,265,635,295,525,520,110,230,245,350,1320,150,70,95,50,55,115,75
    United Kingdom,35585,655,1710,2475,2120,670,485,335,1520,960,2075,2100,2220,1885,2205,1915,1360,945,910,2720,1615,965,705,470,1185,1380
    Other places of birth in Europe,41095,885,3985,3660,2235,1145,2195,655,2230,955,1925,1420,1875,1525,2090,1730,2200,1340,1870,1795,1330,1365,580,160,1055,870
  Africa,88020,8645,3180,3165,2135,7125,2735,6705,2580,2020,3685,1850,2715,5475,1645,2685,4890,3245,2095,3310,4655,3200,2875,1705,3180,2525
    Algeria,940,0,55,25,10,25,10,0,10,35,50,20,10,90,10,85,100,45,10,50,25,65,25,80,35,50
"    Congo, Democratic Republic of the",2130,125,40,85,45,55,25,75,15,75,80,15,25,210,95,55,225,65,25,80,190,90,60,35,170,160
    Egypt,6425,175,250,330,145,120,130,110,150,70,450,280,220,300,120,270,510,750,575,125,155,300,395,160,185,160
    Eritrea,6485,160,70,80,240,865,260,535,190,290,140,75,345,485,180,280,295,35,25,535,780,210,45,40,215,100
    Ethiopia,10900,400,330,315,395,780,160,290,290,360,505,175,285,1210,315,165,505,95,80,760,1525,685,105,160,565,445
    Morocco,2385,35,55,85,110,65,335,50,185,50,150,80,175,180,30,85,120,50,100,60,95,135,60,25,35,45
    Nigeria,10015,1720,320,410,90,830,495,2115,210,95,395,125,205,410,105,115,270,220,230,150,295,220,230,90,345,330
    Somalia,10190,2595,955,445,170,2090,50,860,210,85,135,45,115,575,75,60,285,150,15,95,310,215,220,95,195,135
"    South Africa, Republic of",6005,110,180,320,210,80,365,45,635,145,465,330,645,300,205,475,100,325,345,285,105,40,90,95,50,65
    Other places of birth in Africa,32550,3310,920,1075,715,2200,905,2620,675,820,1320,695,700,1725,515,1100,2480,1510,680,1175,1170,1235,1650,925,1380,1040
  Asia,716890,32285,14180,20680,10810,16235,31810,28755,20145,10880,31835,16895,16775,28170,14320,25615,29950,51380,54270,15455,31445,42745,53130,50475,36150,32490
    Afghanistan,12920,745,355,190,35,150,370,340,160,25,155,45,80,240,160,1310,2195,715,180,395,805,1350,440,330,1495,655
    Iran,37190,230,550,1185,380,175,1215,120,1010,325,1940,1145,1850,1340,395,2900,1985,6705,10705,545,425,525,850,125,335,215
    Iraq,11350,4315,240,150,100,90,235,2075,90,80,250,95,100,230,70,155,410,595,200,50,145,495,745,175,185,90
    Lebanon,6490,130,190,275,85,90,240,95,100,85,545,225,155,325,120,170,655,525,300,95,75,830,800,110,140,140
    Syria,8240,295,200,200,90,130,95,265,75,125,245,130,225,225,125,355,1435,815,195,55,85,815,1420,165,310,145
    Turkey,8500,300,345,340,210,330,970,725,410,310,480,345,295,330,335,480,400,445,285,235,150,235,320,65,80,70
    China,129755,535,1540,2255,1335,695,1500,695,1805,2055,8430,5365,2000,5380,4370,4795,2985,15715,12300,1725,2550,4260,23345,20430,2100,1595
    Hong Kong,36850,120,350,650,400,135,320,140,525,300,1765,1100,570,1125,885,1770,1135,5220,4295,610,560,1350,6300,5555,775,915
"    Korea, South",27505,355,1395,1535,360,250,1255,390,780,365,1645,1360,1225,1590,350,950,910,2930,7930,360,260,340,445,160,205,170
    Taiwan,7985,45,175,145,120,40,105,45,120,90,555,760,170,370,210,340,305,1095,1660,150,120,135,655,405,95,75
    Philippines,132980,4370,2440,3295,1935,6125,16760,7360,10000,2155,2210,1025,3930,4545,1835,2700,5690,4605,6345,2710,7370,11515,5295,5120,6890,6765
    Viet Nam,31675,1245,635,770,1125,3725,2405,6815,975,1775,1060,560,525,1130,1585,170,370,610,650,515,690,660,1440,1345,420,485
    Bangladesh,27130,570,260,345,180,350,190,515,110,345,480,160,110,1405,205,455,1180,485,440,2760,8095,2590,435,695,2730,2040
    India,102155,12825,2575,5645,2425,1745,1680,3250,1365,1075,6680,1920,2920,4430,1315,2570,4265,5540,3850,2030,3165,6190,3690,5530,9560,5925
    Pakistan,34140,2865,915,675,180,460,285,2335,280,335,1550,730,300,1320,650,3890,2490,1265,655,1400,2295,2265,1090,1680,2400,1835
    Sri Lanka,47895,1960,465,240,295,625,375,1605,265,325,440,135,190,1135,245,545,1130,985,230,415,2535,6450,3515,7090,6585,10115
    Other places of birth in Asia,54125,1380,1540,2800,1550,1130,3805,1990,2080,1100,3415,1810,2120,3065,1460,2075,2405,3140,4050,1405,2120,2740,2345,1505,1845,1250
  Oceania and other places of birth,4040,155,145,220,270,115,65,85,120,230,280,255,245,250,250,205,95,70,120,220,110,105,85,70,130,150
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Selected places of birth for the recent immigrant population in private households - 25% sample data,198040,9425,4800,9085,4465,7400,10040,8885,7195,4275,14915,6270,8555,10690,3225,7100,9385,11760,13860,5185,6985,8760,7990,6050,8065,3670
  Americas,25025,1375,810,1305,825,2120,1050,1680,1255,1065,2080,1080,1770,1145,575,905,575,875,815,690,485,645,415,375,790,315
    Brazil,4205,40,150,415,220,355,75,30,285,260,410,140,545,265,100,300,40,170,170,65,70,35,25,0,25,25
    Colombia,1195,75,60,85,30,40,20,50,60,55,80,50,85,50,20,100,130,50,30,20,15,35,20,10,20,0
    Cuba,270,50,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,95,10
    Haiti,3145,430,115,100,55,405,165,430,85,35,110,25,70,60,25,10,125,105,25,35,115,140,70,105,220,95
    Jamaica,2330,50,130,150,40,185,115,75,110,170,270,115,240,175,60,65,30,70,95,65,30,35,0,0,25,15
    Mexico,5130,80,95,175,255,165,150,145,315,235,545,500,415,230,265,265,85,175,230,260,75,115,105,60,140,50
    United States,1530,0,80,110,70,60,35,20,150,50,205,60,140,115,20,40,15,95,105,35,20,10,55,10,20,0
    Venezuela,7215,645,185,270,155,895,485,915,250,260,465,185,275,245,90,135,150,200,160,200,155,260,130,165,235,105
    Other places of birth in Americas,20690,165,1120,1845,1045,850,810,305,920,1340,2315,1135,1335,1240,975,835,980,600,865,750,355,370,120,70,220,135
  Europe,1945,0,35,60,185,10,25,0,75,150,315,265,185,190,165,95,30,20,15,55,10,0,20,10,15,0
    France,650,0,0,50,30,15,10,10,0,35,90,55,60,60,50,35,10,10,10,45,10,30,0,0,0,0
    Germany,1365,0,10,95,125,0,0,0,10,150,250,115,155,135,125,25,10,15,30,70,25,10,0,0,0,0
    Ireland,840,10,40,90,45,40,40,25,60,35,90,70,90,15,40,10,15,0,30,45,15,10,0,0,0,10
    Moldova,2240,0,45,195,70,10,185,30,100,35,335,105,165,145,35,110,70,150,315,25,50,20,25,0,15,0
    Romania,2490,25,380,660,105,25,230,30,40,40,245,45,130,170,25,35,25,65,140,20,10,10,0,0,10,0
    Russian Federation,2610,15,50,85,145,45,55,10,85,160,485,210,210,250,220,160,40,50,40,195,30,20,10,10,20,10
    Ukraine,8550,100,555,610,340,690,270,195,540,735,510,275,345,265,305,355,790,285,280,295,205,265,60,40,145,95
    United Kingdom,18715,1790,630,585,375,1930,655,1900,330,285,1025,380,570,1050,295,580,880,650,495,780,1210,680,405,135,730,365
    Other places of birth in Europe,210,0,0,15,0,0,0,0,0,10,15,10,0,30,0,20,35,0,0,10,0,0,0,0,0,20
  Africa,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,25,0,0,0,25,0
    Algeria,505,30,15,0,0,80,40,60,0,15,0,10,10,20,0,0,25,45,0,0,60,15,0,0,55,0
    Cameroon,360,0,0,0,20,10,0,30,0,0,15,0,0,65,0,10,30,10,0,25,30,25,0,0,35,10
"    Congo, Democratic Republic of the",235,45,0,10,0,15,0,10,0,0,0,15,0,0,0,0,15,0,40,0,25,15,0,0,10,15
    Côte d'Ivoire,995,10,35,40,10,25,0,40,15,10,120,80,0,50,30,20,90,140,110,25,10,50,35,10,0,45
    Egypt,2770,80,15,0,75,435,140,300,45,60,15,15,150,135,85,150,165,15,0,245,375,80,20,10,130,45
    Eritrea,1955,30,100,70,75,155,20,45,45,40,40,25,55,130,50,25,135,10,30,190,395,110,25,15,115,15
    Ethiopia,515,10,0,20,50,30,10,10,40,15,85,25,45,60,0,20,10,10,10,15,10,30,15,0,0,10
    Morocco,4535,620,150,210,30,300,295,930,85,40,220,60,130,190,35,65,160,130,150,60,120,115,120,40,185,100
    Nigeria,1570,505,170,40,20,555,0,100,0,0,30,10,0,25,0,10,30,10,0,10,0,25,20,0,0,0
    Somalia,675,0,45,35,15,10,0,0,70,10,130,25,55,55,30,55,0,25,50,20,10,0,0,0,0,0
"    South Africa, Republic of",485,20,0,0,15,25,15,15,0,0,0,0,20,25,0,50,70,50,15,35,15,0,30,0,45,10
    Tunisia,120,0,0,0,0,0,10,0,10,10,30,10,0,10,0,0,0,0,0,0,0,15,0,0,0,0
    Other places of birth in Africa,3650,435,85,130,60,295,115,355,20,80,320,85,90,260,60,140,120,170,65,110,130,185,125,40,105,85
  Asia,132735,6090,2230,5310,2150,2470,7515,4995,4660,1535,9375,3600,4785,7185,1315,4710,6940,9630,11655,2940,4935,7035,7030,5475,6330,2845
    Afghanistan,3180,85,85,65,0,55,60,10,45,0,15,0,30,50,0,405,760,170,35,130,190,400,90,75,350,55
    Bangladesh,4760,65,20,70,40,15,20,35,60,35,135,45,50,130,35,105,250,110,145,635,1415,355,125,220,470,180
    China,18525,50,145,445,170,70,195,35,330,150,2010,1010,490,1330,125,615,385,2315,3045,90,80,495,2440,2315,100,105
    Hong Kong,650,0,0,15,0,0,0,0,15,20,60,25,20,25,0,30,10,100,115,0,0,50,80,55,15,0
    India,40200,2905,625,2730,970,340,615,795,675,405,4425,990,1980,2935,315,900,1565,2870,2275,1000,1485,2215,1385,1450,3150,1190
    Iran,5225,0,50,125,25,25,120,10,170,35,285,165,305,245,35,285,280,1010,1765,30,20,90,65,0,60,15
    Iraq,2260,1185,40,10,0,0,0,305,0,0,15,30,15,25,15,15,115,65,20,0,15,125,160,50,10,30
    Israel,640,0,0,15,15,30,140,30,115,20,25,35,95,15,0,20,20,15,30,0,0,15,0,0,0,0
    Japan,860,0,15,35,45,15,15,0,45,50,105,95,70,130,30,15,20,30,75,10,30,0,0,15,15,0
"    Korea, South",380,30,0,35,0,0,0,0,10,0,30,30,0,40,15,15,35,30,15,0,0,15,35,0,15,0
    Lebanon,3120,20,55,170,40,30,140,15,85,40,255,200,230,250,35,90,40,345,860,20,60,30,50,0,35,0
    Nepal,965,15,0,40,0,0,0,0,20,25,110,60,35,75,0,20,100,75,60,40,0,100,85,0,65,10
    Pakistan,1235,0,45,95,80,25,55,0,0,15,15,0,30,135,0,0,25,0,40,60,185,250,25,0,115,0
    Philippines,5745,450,80,160,20,30,115,460,50,45,580,150,90,275,95,770,480,400,185,210,315,240,100,125,220,105
    Saudi Arabia,24910,730,530,555,395,1405,4855,2070,2655,270,170,185,660,650,215,505,1180,860,1910,370,675,1360,1045,405,800,445
    Sri Lanka,1865,25,15,70,20,35,50,10,35,20,140,45,40,135,55,275,160,105,75,75,130,170,80,30,75,10
    Syria,2705,160,35,20,10,10,30,140,25,15,70,15,40,60,10,40,60,45,0,25,85,390,115,380,435,480
    Taiwan,4685,55,65,95,55,30,35,125,0,85,90,65,145,120,70,255,1010,425,55,45,70,525,805,130,235,105
    Turkey,2665,125,105,55,80,60,375,225,85,125,170,115,100,150,90,115,105,160,110,75,55,70,30,50,10,25
    United Arab Emirates,940,25,45,60,10,0,20,10,30,10,130,55,65,50,10,55,35,60,70,25,30,25,45,10,40,30
    Viet Nam,2395,65,115,155,110,240,235,525,90,70,85,75,55,55,55,10,10,85,135,10,15,20,60,60,30,30
    Other places of birth in Asia,4810,100,165,280,60,30,440,170,110,95,435,215,240,300,90,165,295,345,630,75,75,90,210,60,105,20
  Oceania and other,875,10,0,50,70,30,15,0,20,60,130,75,85,80,65,60,15,0,30,25,0,20,15,0,10,0
    Australia,720,10,0,40,65,15,10,0,15,50,115,75,75,70,35,55,10,0,20,25,0,0,10,0,0,0
    Other places of birth,155,0,0,0,10,0,0,0,0,10,10,0,15,10,35,0,0,0,10,0,0,0,10,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Mobility status 1 year ago - 25% sample data,2736910,114085,116265,138425,103655,114460,106270,110170,113670,103805,134155,101690,113135,116085,103480,100265,93420,111770,116210,107395,109135,110525,102950,93415,101735,100740
  Non-movers,2382090,104510,107510,119650,90415,106135,94715,101190,102315,90400,91185,79135,94065,86985,92250,89100,83800,95445,95595,96015,98975,100410,92150,85205,91435,93500
  Movers,354820,9580,8755,18770,13240,8325,11550,8975,11350,13400,42975,22555,19075,29105,11230,11165,9625,16330,20625,11380,10160,10110,10795,8215,10300,7240
    Non-migrants,261975,6845,6510,13100,10565,6725,9010,6930,8780,10820,29800,16500,14755,20810,9490,8140,7170,11120,13840,9175,7775,7435,7780,6180,7330,5385
    Migrants,92845,2735,2245,5675,2675,1600,2545,2050,2575,2580,13175,6050,4320,8295,1735,3025,2455,5205,6780,2205,2385,2675,3015,2030,2965,1850
      Internal migrants,52170,1430,1390,3925,1655,765,1595,985,1185,1605,8330,3390,2370,5175,1120,1445,1220,2640,3215,1330,1155,1240,1445,1035,1400,1115
        Intraprovincial migrants,42095,1285,1230,3525,1330,625,1350,830,955,1180,6645,2415,1785,4020,900,1165,985,2155,2630,1050,760,960,1300,875,1105,1020
        Interprovincial migrants,10075,145,160,405,320,135,240,160,235,425,1685,975,585,1155,225,275,245,485,590,275,395,280,145,160,295,90
      External migrants,40675,1305,855,1745,1020,835,950,1060,1385,980,4845,2660,1945,3120,615,1580,1235,2570,3560,875,1235,1435,1565,995,1570,740
Total - Mobility status 5 years ago - 25% sample data,2637900,109365,112100,133155,99945,109630,102085,105420,108990,100065,130985,99255,109575,113215,99205,96410,89735,108215,112600,102460,104485,106390,99685,90260,97560,97120
  Non-movers,1664205,76055,81020,78645,64060,79165,68045,72590,73785,64270,45275,50260,60820,50380,68105,64380,59425,63265,61285,69665,71600,71635,66830,64470,65955,73215
  Movers,973695,33305,31085,54505,35890,30465,34045,32825,35205,35795,85710,48990,48750,62835,31100,32025,30310,44945,51315,32795,32885,34755,32855,25785,31605,23905
    Non-migrants,530780,16890,19020,29180,22465,19815,19315,18125,21350,22465,36140,24505,26970,28775,21555,18275,16230,20275,23100,21175,20780,19775,18295,14865,17070,14380
    Migrants,442915,16415,12065,25325,13425,10650,14730,14705,13855,13330,49570,24485,21785,34060,9545,13755,14085,24675,28220,11620,12105,14985,14560,10920,14530,9525
      Internal migrants,200730,5330,7105,15025,7745,3875,6220,4280,5625,7425,30605,13150,9890,17610,5435,5465,4650,8850,10855,5320,3795,4380,5545,4420,4120,4015
        Intraprovincial migrants,157040,4450,6285,12765,5875,3125,5180,3565,4465,5430,23330,8975,7660,12860,4210,4280,3690,6955,8655,4040,2725,3500,4640,3690,3245,3440
        Interprovincial migrants,43690,880,815,2260,1870,750,1035,715,1165,1995,7275,4170,2230,4745,1225,1190,960,1890,2205,1285,1070,880,910,725,875,575
      External migrants,242185,11090,4960,10305,5680,6770,8510,10425,8230,5905,18960,11335,11895,16450,4110,8290,9435,15825,17360,6300,8310,10600,9010,6505,10410,5505
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Mother tongue for the population in private households - 25% sample data,2761285,115120,117200,139915,104715,115675,107355,111200,114820,104735,135400,102385,114095,116930,104555,101025,94335,112590,117125,108500,110095,111560,103690,94025,102755,101485
  Single responses,2579040,105885,110825,131905,99750,108545,99560,102450,108295,98760,125695,97155,108200,108020,99870,95135,86575,103570,108960,102840,102310,102400,96210,87170,94525,94430
    Official languages,1416380,52375,63190,80715,70615,57935,46060,49125,68855,59015,77435,63545,73390,62305,71060,56320,42660,35750,35345,75370,60385,48180,32160,28220,49910,56460
      English,1382865,51565,62150,78735,68795,57145,45300,48565,67605,57535,74265,61425,71425,59565,69100,55060,41360,34870,34515,73430,59195,47300,31475,27845,48895,55735
      French,33515,810,1040,1985,1820,785,750,560,1250,1475,3170,2115,1965,2740,1960,1265,1290,880,830,1945,1185,880,685,375,1020,725
    Non-official languages,1162660,53515,47635,51185,29135,50610,53505,53325,39440,39750,48260,33615,34810,45720,28810,38815,43920,67815,73615,27470,41920,54220,64045,58950,44605,37970
      Indigenous languages,260,0,0,10,10,30,10,0,0,45,0,10,30,20,40,0,0,0,0,25,0,0,0,0,0,0
        Algonquian languages,220,0,0,10,10,30,0,0,0,30,0,10,30,10,25,0,0,0,0,20,0,0,0,0,0,0
          Blackfoot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Cree-Innu languages,85,0,0,0,0,0,0,0,0,0,0,0,30,0,10,0,0,0,0,0,0,0,0,0,0,0
            Atikamekw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Cree languages,85,0,0,0,0,0,0,0,0,0,0,0,30,0,10,0,0,0,0,0,0,0,0,0,0,0
              Ililimowin (Moose Cree),10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Inu Ayimun (Southern East Cree),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Iyiyiw-Ayimiwin (Northern East Cree),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Nehinawewin (Swampy Cree),40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Nehiyawewin (Plains Cree),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Nihithawiwin (Woods Cree),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"              Cree, n.o.s.",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Innu (Montagnais),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Naskapi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Eastern Algonquian languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Mi'kmaq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Wolastoqewi (Malecite),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Ojibway-Potawatomi languages,130,0,0,0,0,25,0,0,0,30,0,0,0,0,20,0,0,0,0,15,0,0,0,0,0,0
            Anicinabemowin (Algonquin),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Oji-Cree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Ojibway languages,130,0,0,0,0,25,0,0,0,30,0,0,0,0,20,0,0,0,0,15,0,0,0,0,0,0
              Anishinaabemowin (Chippewa),25,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Daawaamwin (Odawa),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Saulteau (Western Ojibway),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"              Ojibway, n.o.s.",100,0,0,0,0,20,0,0,0,20,0,0,0,0,20,0,0,0,0,10,0,0,0,0,0,0
"          Algonquian languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Athabaskan languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Northern Athabaskan languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Dakelh (Carrier),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Dane-zaa (Beaver),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"            Dene, n.o.s.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Gwich'in,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Slavey-Hare languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Deh Gah Ghotie Zhatie (South Slavey),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Satuotine Yati (North Slavey),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"              Slavey, n.o.s.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Tahltan languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Kaska (Nahani),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Tahltan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Tlicho (Dogrib),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Tse'khene (Sekani),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Tsilhqot'in (Chilcotin),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Tsuu T'ina (Sarsi),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Tutchone languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Northern Tutchone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Southern Tutchone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"              Tutchone, n.o.s.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Wetsuwet'en-Babine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Tlingit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Athabaskan languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Haida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Inuktut (Inuit) languages,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Inuinnaqtun (Inuvialuktun),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Inuinnaqtun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Inuvialuktun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Inuktitut,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Inuktut (Inuit) languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Iroquoian languages,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Cayuga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Mohawk,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Oneida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Iroquoian languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Ktunaxa (Kutenai),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Michif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Salish languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Halkomelem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Lillooet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Ntlakapamux (Thompson),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
