Population,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
    Ukraine,15780,270,2850,3105,1100,275,2655,200,645,190,415,215,450,410,165,340,240,395,1385,115,125,60,25,15,65,70
    United Kingdom,40300,740,2205,2795,2230,795,575,500,1615,1065,2010,2135,2495,1865,2280,2350,1675,1240,1200,2910,1980,1135,785,585,1470,1665
    Other places of birth in Europe,39230,1075,4035,3270,2435,1225,2630,605,2495,805,1160,1080,1605,1040,1650,1365,2190,1415,1930,1640,1320,1365,675,315,970,925
  Africa,77450,8910,2705,2400,1910,6145,2250,5670,2205,1840,2650,1695,2205,4385,1435,2530,4710,2815,1955,2700,3625,3035,2865,1680,2905,2220
    Algeria,770,20,15,45,30,25,30,0,15,60,30,10,25,45,10,120,65,45,10,50,15,65,10,0,15,30
    Egypt,6625,145,215,205,140,80,200,80,145,55,365,280,280,315,110,325,585,815,540,125,170,325,625,205,165,120
    Ethiopia,9075,400,190,240,470,660,125,195,265,370,320,175,260,1135,235,180,390,75,65,550,1145,575,110,120,475,345
    Kenya,4880,525,155,195,90,290,75,175,110,65,210,85,85,190,95,310,475,280,115,165,105,205,295,255,140,210
    Morocco,1850,65,25,65,25,15,310,35,170,45,80,70,105,105,35,110,125,70,125,80,75,55,10,15,25,15
    Nigeria,7600,1750,230,195,105,815,275,1670,145,85,235,70,65,215,45,60,125,120,55,115,170,90,130,125,460,260
    Somalia,9025,2595,640,335,100,1700,130,675,165,110,190,20,50,530,130,30,265,90,30,125,305,165,200,65,230,145
"    South Africa, Republic of",5560,25,225,225,195,90,315,45,510,115,350,470,545,225,185,440,190,285,280,215,95,90,100,60,135,150
    Other places of birth in Africa,32055,3390,1010,895,750,2475,790,2795,675,940,875,510,795,1615,585,950,2500,1050,740,1270,1545,1465,1390,840,1260,945
  Asia,674495,33085,12710,15010,10695,15510,27255,26525,18075,11165,22010,14785,13030,21780,14900,24180,28260,50825,53735,15670,30180,40500,54960,54080,34920,30660
    Afghanistan,12740,975,440,55,85,220,320,550,125,50,100,30,45,150,190,1200,1910,945,230,320,770,1360,410,250,1405,615
    Bangladesh,25100,815,240,290,140,365,160,405,65,405,220,115,170,1460,270,560,1255,500,290,3430,7585,1805,255,500,2510,1305
    China,131480,545,1425,1725,1520,640,1130,885,1490,2450,6840,4810,1700,3725,5500,3925,3215,16760,11560,2070,2850,4560,25965,22595,2275,1305
    Hong Kong,38820,185,390,455,305,110,265,95,435,370,1775,1100,550,1065,940,1785,1060,5505,4685,645,750,1230,6800,6350,930,1045
    India,79225,13890,1905,2865,1995,1610,1185,3490,815,865,2570,1010,1225,2095,1300,2105,3305,3780,2465,1425,2310,5015,3125,5035,8375,5460
    Iran,36440,160,375,595,470,135,1075,200,990,325,1530,1120,1480,1160,345,2360,1880,7005,12675,460,360,480,655,135,285,190
    Iraq,11135,4275,215,125,125,100,345,2210,15,60,160,120,70,160,40,70,440,705,200,50,160,255,795,140,190,115
    Japan,3980,25,90,180,195,90,45,45,145,120,265,290,270,250,250,195,110,290,320,175,195,60,155,80,90,55
"    Korea, South",26835,410,1435,1750,480,290,1150,315,550,460,1160,1380,825,965,290,1280,865,2840,8430,350,195,335,460,145,280,185
    Lebanon,6010,190,235,230,80,70,165,190,145,55,275,175,150,180,85,195,635,490,330,80,120,740,840,110,140,110
    Pakistan,34755,3010,1050,455,255,400,265,2550,165,395,850,490,210,935,645,4720,2800,1110,655,1570,1970,2545,1505,1850,2575,1780
    Philippines,118775,3525,2165,3070,1975,5375,13640,4615,9570,2065,1780,875,3770,4005,1710,2385,5460,4330,5315,2455,7640,10735,4490,4895,6415,6525
    Sri Lanka,52900,2095,595,225,350,950,375,1735,240,325,365,95,180,1340,230,420,1445,1035,295,515,2795,7465,4205,8485,7160,9980
    Syria,5580,340,115,120,65,105,115,160,85,30,165,60,85,120,35,255,925,670,135,75,65,555,860,65,195,180
    Taiwan,7695,60,195,125,95,25,55,0,145,75,445,665,155,485,135,310,255,1050,1780,130,70,225,615,355,160,65
    Viet Nam,30575,1220,425,620,1020,3875,2275,6405,855,2010,990,575,535,1125,1530,210,375,565,500,505,680,660,1365,1390,385,470
    Other places of birth in Asia,52455,1385,1415,2125,1535,1150,4700,2670,2245,1110,2520,1875,1600,2555,1380,2210,2340,3250,3860,1405,1665,2475,2455,1690,1540,1295
  Oceania and other places of birth,3780,125,125,245,300,50,70,85,140,180,250,200,180,215,310,180,105,90,105,225,100,90,85,45,135,155
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Selected places of birth for the recent immigrant population in private households - 25% sample data,187950,11155,4315,6120,4490,7595,11360,8880,7685,4325,6945,4335,6085,7090,3250,7720,8525,12765,15675,5560,7220,8800,8935,7105,8390,3610
  Americas,23850,1705,605,1020,700,2545,1065,2425,1105,1230,970,675,1015,910,670,710,710,615,675,605,520,955,385,295,990,735
    Brazil,1910,25,105,115,55,335,35,15,135,220,110,65,125,95,30,55,25,125,100,60,10,35,25,0,0,10
    Colombia,1430,45,75,65,30,80,65,110,105,90,50,10,90,55,35,105,135,55,65,45,30,60,0,0,15,0
    Cuba,770,20,55,55,50,80,35,30,65,85,10,10,25,45,0,20,60,10,10,15,10,25,0,0,30,20
    Haiti,675,95,10,20,10,0,20,55,15,0,10,0,0,0,10,0,20,0,0,10,50,70,30,0,160,80
    Jamaica,3525,520,60,75,40,540,185,570,65,75,25,15,35,75,50,30,90,45,0,45,65,240,150,105,260,165
    Mexico,2065,70,40,145,125,180,120,85,85,175,120,90,125,120,80,90,80,40,120,60,0,55,15,10,25,0
    United States,4015,105,75,145,190,100,150,65,275,180,280,375,260,220,290,265,115,125,150,170,105,70,45,65,115,75
    Venezuela,1055,0,40,105,25,50,15,0,55,55,155,15,85,90,60,30,20,60,75,15,15,55,15,0,10,10
    Other places of birth in Americas,8390,820,145,305,170,1185,445,1490,320,340,210,90,265,215,120,105,170,155,155,190,225,345,100,110,380,355
  Europe,20265,345,1460,1825,1135,975,1340,345,890,1340,1385,835,1125,890,775,800,955,635,1095,845,305,330,140,55,275,165
    France,1145,0,20,30,55,25,10,15,45,100,140,135,90,155,50,55,10,35,35,45,10,40,0,0,15,10
    Germany,625,10,25,15,55,0,25,10,0,30,85,45,55,35,25,45,10,10,35,35,10,25,10,0,15,10
    Ireland,1215,0,10,70,135,30,0,0,40,95,280,85,145,60,105,20,0,15,20,60,35,0,10,0,10,0
    Moldova,400,0,35,30,10,0,160,0,0,0,10,0,10,0,0,0,30,40,75,15,0,0,0,0,0,0
    Romania,860,20,60,60,30,10,80,15,25,25,25,0,40,20,0,65,75,100,40,65,50,15,10,0,20,0
    Russian Federation,2290,15,105,180,145,20,455,10,140,15,105,80,135,145,30,105,40,95,340,55,10,10,10,0,25,15
    Ukraine,1930,10,335,495,65,15,250,30,80,20,60,20,60,40,10,15,20,80,245,30,25,0,10,0,15,0
    United Kingdom,2120,20,65,130,170,40,15,15,110,95,300,160,125,150,150,110,50,65,50,120,40,45,10,25,25,25
    Other places of birth in Europe,9680,265,810,820,470,830,345,255,445,945,395,295,465,275,400,375,715,205,270,420,125,185,90,20,155,90
  Africa,13300,1935,470,335,400,1210,345,1320,190,305,430,265,395,725,115,400,625,495,345,560,705,570,310,125,580,150
    Algeria,130,0,0,10,0,0,20,0,0,10,0,0,0,10,0,15,10,0,0,15,0,0,10,0,0,10
    Cameroon,555,50,50,15,0,40,0,45,0,10,0,0,0,20,0,10,70,75,0,65,10,65,0,0,10,0
"    Congo, Democratic Republic of the",330,60,10,0,0,15,10,15,0,0,0,0,0,10,10,10,35,0,0,20,40,35,10,0,30,10
    Côte d'Ivoire,170,55,20,10,0,0,15,0,0,10,10,0,0,10,0,0,10,0,25,0,10,0,0,0,0,0
    Egypt,1350,15,25,45,25,20,65,0,20,0,80,105,95,80,15,65,70,210,175,35,30,25,115,10,25,10
    Eritrea,970,40,30,0,60,180,30,80,40,50,0,0,65,50,15,45,35,15,0,55,140,25,0,10,20,10
    Ethiopia,1555,45,30,50,125,130,15,10,20,80,25,35,40,150,20,55,60,10,0,140,260,120,35,25,80,15
    Morocco,215,0,10,10,0,0,0,0,10,10,10,0,20,25,10,20,45,10,0,10,10,10,0,0,0,10
    Nigeria,2550,680,90,70,35,265,85,670,0,10,80,10,25,75,0,10,35,40,25,40,50,35,0,10,185,40
    Somalia,1010,490,40,20,0,215,20,85,0,0,0,0,0,30,0,10,45,0,10,0,25,0,0,10,10,10
"    South Africa, Republic of",395,0,0,20,45,0,0,0,30,0,30,10,20,40,0,10,30,10,35,30,0,20,10,10,35,0
    Tunisia,80,0,0,0,0,10,0,10,0,0,0,0,15,0,0,10,0,10,0,0,15,15,10,0,0,0
    Other places of birth in Africa,3985,495,160,90,115,335,85,415,65,125,185,90,120,220,35,160,175,120,65,150,135,225,115,80,190,45
  Asia,129690,7160,1770,2885,2165,2845,8585,4765,5495,1380,4060,2500,3530,4500,1590,5765,6220,11005,13520,3540,5685,6930,8080,6630,6530,2550
    Afghanistan,3165,240,50,0,15,60,70,110,25,10,0,10,0,25,25,625,460,320,35,90,230,300,50,45,320,60
    Bangladesh,5790,150,30,65,0,50,25,60,15,45,40,35,15,185,45,140,355,200,105,1145,1810,440,75,105,490,150
    China,23200,30,180,295,250,80,155,90,315,200,1405,875,435,680,430,900,485,3235,3205,220,270,790,4105,4125,345,85
    Hong Kong,635,0,0,0,10,0,0,0,25,10,25,15,0,35,20,40,15,90,110,10,20,35,80,65,10,20
    India,20100,2895,310,915,690,235,305,530,195,160,930,330,525,1000,270,575,755,1300,955,530,815,1345,760,750,2605,440
    Iran,10930,15,65,120,105,15,420,25,255,70,385,220,595,390,85,505,385,2400,4550,70,95,25,70,10,55,0
    Iraq,3715,1780,45,45,40,0,50,885,0,10,55,30,0,10,10,0,160,255,10,0,10,45,225,20,10,0
    Israel,585,10,0,15,10,0,210,0,75,10,20,65,25,25,0,15,15,10,45,0,0,0,20,10,0,0
    Japan,740,10,10,20,55,20,15,0,50,20,75,90,75,50,25,50,10,25,45,20,30,0,25,10,0,0
"    Korea, South",2930,20,115,155,45,10,140,20,80,50,130,115,205,145,30,145,25,380,1005,65,10,10,30,10,10,0
    Lebanon,615,15,15,25,10,0,25,0,10,10,45,60,30,30,0,15,55,50,70,10,10,100,30,10,10,0
    Nepal,1575,40,0,95,235,50,25,25,10,10,20,10,0,405,25,20,15,20,0,170,180,115,20,0,80,0
    Pakistan,6725,585,135,45,60,75,30,745,35,50,165,85,35,185,75,1295,685,210,180,355,325,290,230,270,455,125
    Philippines,31730,720,525,570,375,1770,6080,1305,4005,505,170,125,1185,870,305,700,1435,1250,2290,575,1465,2035,1220,400,1050,800
    Saudi Arabia,865,20,0,10,40,20,75,10,55,10,60,50,50,45,0,125,75,55,50,20,0,50,20,10,15,10
    Sri Lanka,4350,205,35,0,0,65,30,245,30,15,40,10,20,45,0,70,125,115,10,40,240,750,315,625,685,655
    Syria,3260,200,50,80,35,55,35,60,25,0,25,20,25,45,15,160,765,380,45,75,30,300,560,30,130,130
    Taiwan,325,0,10,0,10,0,10,0,15,0,20,30,20,20,10,10,0,35,75,10,10,10,25,15,15,10
    Turkey,1675,30,55,65,30,45,205,130,160,55,80,150,80,65,25,130,90,30,75,55,0,75,15,0,20,0
    United Arab Emirates,940,75,40,30,20,15,25,10,0,0,65,45,25,20,0,40,90,105,95,10,30,50,55,40,55,20
    Viet Nam,1380,65,0,45,70,225,115,350,40,70,20,0,35,35,20,10,35,15,60,10,10,25,25,35,25,20
    Other places of birth in Asia,4460,75,110,280,70,40,535,175,80,70,275,135,140,195,165,195,185,520,510,80,95,160,120,70,140,30
  Oceania and other,850,0,20,60,95,10,30,25,15,70,105,55,20,65,100,40,10,10,35,15,10,15,20,0,10,0
    Australia,665,0,15,60,85,10,30,0,10,45,95,55,15,55,70,40,10,10,25,10,0,0,0,10,10,0
    Other places of birth,185,0,0,0,0,0,0,15,0,30,10,0,10,10,30,0,0,0,10,0,0,10,20,0,10,0
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Mobility status 1 year ago - 25% sample data,2663550,115555,115055,126025,105170,113895,102625,106300,111725,106260,113145,99670,103925,98710,104180,100845,92050,108165,116260,107155,107045,109355,103275,96625,99985,100570
  Non-movers,2284060,102340,103680,106700,89520,102670,89550,94530,99200,89760,80995,77505,86550,76290,91235,87780,79540,90470,91250,94480,95785,96090,91210,86625,88015,92305
  Movers,379490,13215,11370,19330,15645,11220,13080,11770,12525,16500,32140,22165,17375,22425,12940,13060,12510,17690,25010,12675,11260,13265,12070,10005,11975,8265
    Non-migrants,253780,8685,8070,12240,11005,8265,8730,8440,8620,11845,19710,14215,11905,14450,10020,8410,8160,10175,15045,9145,7990,9250,7815,7150,8555,5895
    Migrants,125715,4525,3300,7085,4640,2960,4350,3330,3905,4650,12430,7950,5475,7975,2920,4655,4355,7510,9970,3525,3275,4015,4255,2855,3425,2370
      Internal migrants,65770,2105,2230,5045,2815,1385,2115,1710,1725,2655,8785,4610,2845,4780,1770,2065,1750,3275,4215,1705,1370,1650,1425,1055,1385,1325
        Intraprovincial migrants,49990,1790,1985,4310,2075,1075,1695,1350,1250,1955,6555,2990,2085,3520,1290,1425,1310,2370,3100,1270,1105,1245,1140,870,1090,1140
        Interprovincial migrants,15780,315,245,735,740,315,425,355,475,700,2225,1620,755,1260,475,640,440,910,1115,435,265,405,285,180,300,185
      External migrants,59945,2425,1070,2050,1830,1570,2235,1620,2185,1995,3650,3340,2630,3195,1155,2585,2605,4235,5750,1825,1905,2370,2825,1800,2040,1045
Total - Mobility status 5 years ago - 25% sample data,2556120,110150,110885,121115,100740,108600,98280,101155,106665,102420,110255,97115,100520,96075,99005,96190,88190,104345,112305,101520,102090,104695,99265,92660,95215,96670
  Non-movers,1516105,70930,76355,68800,58695,72200,59680,64625,68325,59805,34930,46305,54685,42485,63740,58515,52530,57485,53360,63845,65085,66550,63755,62600,60405,70430
  Movers,1040015,39215,34535,52315,42045,36400,38600,36525,38345,42620,75325,50805,45835,53595,35265,37670,35655,46860,58940,37675,37010,38150,35510,30060,34815,26240
    Non-migrants,639060,23760,23795,31230,26665,25790,24080,24280,25895,27750,37025,26725,28350,28140,25225,23000,22565,24240,29490,25775,25985,25220,22155,19715,22810,19415
    Migrants,400950,15460,10735,21085,15385,10615,14525,12250,12450,14870,38300,24075,17485,25455,10045,14675,13090,22620,29450,11900,11025,12925,13360,10345,12010,6820
      Internal migrants,184115,5195,6360,13360,9335,4075,5640,4270,4825,8580,26425,12790,9165,14170,5625,5770,4270,7040,9885,5450,3945,4015,4000,2920,3450,3580
        Intraprovincial migrants,141130,4435,5555,11175,6895,3410,4920,3600,3615,6110,19745,8485,6760,10110,4025,4165,3490,5475,7530,3935,3125,3110,3180,2460,2760,3080
        Interprovincial migrants,42985,755,800,2180,2435,670,720,670,1215,2470,6680,4310,2405,4055,1605,1610,780,1565,2350,1520,820,905,815,460,690,500
      External migrants,216835,10265,4375,7725,6050,6535,8885,7980,7620,6290,11880,11285,8325,11285,4415,8905,8825,15585,19565,6455,7080,8910,9360,7430,8555,3240
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Mother tongue for the population in private households - 25% sample data,2691665,116955,116060,127520,106440,115130,103760,107730,112925,107395,114315,100520,104940,99590,105395,101790,93165,109060,117405,108435,108295,110445,104225,97610,101115,101440
  Single responses,2588475,110980,112455,123920,103445,110485,99015,102755,109195,103690,110185,97835,101720,95930,102600,98420,88750,104365,113105,105085,103790,104525,99905,93295,95895,97115
    Official languages,1404450,52860,62350,76905,70930,56925,43430,47235,69820,57830,71730,64590,70700,56870,70980,59490,42875,34915,36435,75490,61850,50430,30695,28510,50750,59845
      English,1370490,52050,61320,74900,68880,56015,42650,46655,68615,56380,68965,62485,68770,54105,68975,58010,41525,33965,35555,73390,60685,49415,30080,28200,49865,59055
      French,33965,810,1030,2005,2050,910,785,585,1210,1445,2765,2105,1925,2765,2005,1485,1355,950,885,2105,1170,1020,620,315,885,790
    Non-official languages,1184020,58120,50100,47010,32515,53560,55590,55515,39380,45860,38455,33255,31020,39060,31620,38935,45870,69450,76665,29585,41940,54095,69215,64785,45145,37275
      Aboriginal languages,290,10,10,0,15,10,0,15,10,30,0,0,10,55,35,0,15,0,10,30,0,15,0,10,0,10
        Algonquian languages,225,10,0,0,0,10,0,10,10,20,10,0,0,45,25,0,15,0,0,30,0,0,0,10,10,0
          Blackfoot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Cree-Montagnais languages,50,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,10,0,0,0,0,10,0,0,0,0
            Atikamekw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Montagnais (Innu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Moose Cree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Naskapi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Northern East Cree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Plains Cree,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Southern East Cree,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Swampy Cree,20,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
            Woods Cree,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"            Cree, n.o.s.",20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Eastern Algonquian languages,15,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0
            Malecite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Mi'kmaq,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
          Ojibway-Potawatomi languages,155,10,0,0,10,10,0,0,10,15,0,0,10,30,15,10,10,0,0,25,0,0,0,10,0,0
            Algonquin,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
            Ojibway,135,0,0,0,10,0,0,10,10,15,0,0,10,30,15,0,0,0,0,20,0,0,0,10,0,0
            Oji-Cree,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Ottawa (Odawa),10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"          Algonquian languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Athabaskan languages,15,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Northern Athabaskan languages,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Babine (Wetsuwet'en),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Beaver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Carrier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Chilcotin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Dene,10,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Dogrib (Tlicho),10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Gwich'in,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Sarsi (Sarcee),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Sekani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Slavey-Hare languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              North Slavey (Hare),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              South Slavey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"              Slavey, n.o.s.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Tahltan languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Kaska (Nahani),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Tahltan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Tutchone languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Northern Tutchone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Southern Tutchone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Athabaskan languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Haida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Inuit languages,15,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Inuinnaqtun (Inuvialuktun),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Inuktitut,15,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"          Inuit languages, n.i.e.",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Iroquoian languages,20,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
          Cayuga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Mohawk,20,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
          Oneida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Iroquoian languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Kutenai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Michif,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Salish languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Comox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Halkomelem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Lillooet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Okanagan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Shuswap (Secwepemctsin),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Squamish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Straits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Thompson (Ntlakapamux),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Salish languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Siouan languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Stoney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Siouan languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Tlingit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Tsimshian languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Gitxsan (Gitksan),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Nisga'a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Tsimshian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Wakashan languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Haisla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Heiltsuk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Kwakiutl (Kwak'wala),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Nuu-chah-nulth (Nootka),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Wakashan languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"        Aboriginal languages, n.o.s.",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
      Non-Aboriginal languages,1183730,58110,50100,47005,32500,53555,55585,55505,39370,45830,38450,33250,31010,39005,31585,38925,45860,69450,76665,29560,41930,54080,69215,64780,45145,37270
